"customer_type","template_name","pipeline_stage","is_active","subject","channel","body","category","send_automatically","send_mode","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Doesn't matter","Thank you - After meeting","Program Planning Discussion","true","Program Planning Discussion - After Meeting","Both","Good morning {{name}},
 
I understand your time is valuable and really appreciate you taking the time to meet with me yesterday. We would be honored to work with you as your {{occasion}} experience provider for your team. 
 
Once you connect with your colleague, let me know what options work best so that we can plan accordingly.
 
Look forward to further planning this with you and that we keep in touch regardless.
","Lead Follow-Up","true","draft","6a033d4753e7b3476095f1d4","2026-05-12T14:46:31.265000","2026-05-12T14:46:31.265000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"Doesn't matter","Deposit Reminder","Deposit Requested","true","Deposit Reminder","Both","Good morning {{name}},

We haven't received your deposit. Is everything Ok?

To reserve your date here is the Deposit link: <<deposit Link>>

Please let me know once processed and will confirm this hits our system.

Look forward to further planning this with you.

Sincerely,
Dave","Reminder","false","send","69aeef04f50b7a4fc987ae23","2026-03-09T16:02:12.749000","2026-03-26T10:25:43.557000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"Doesn't matter","Deposit reservation","Deposit Requested","true","Deposit reservation","Both","Great news {{name}}.

To reserve your date here is the Deposit link: <<deposit Link>>

Please let me know once processed and will confirm this hits our system.

Look forward to further planning this with you.

Sincerely,
Dave","Event Confirmation","false","send","69aeeedf95876b832b245a5c","2026-03-09T16:01:35.638000","2026-03-26T10:25:43.542000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"Doesn't matter","Contract with Deposit","Deposit Requested","true","Contract with Deposit","B2B","See attached for the {{company}} contract at {{venue}} at {{preferred_date}}. Please review, sign, and return when you have a moment.

Once signed, to reserve your date, here are the deposit links: {{Deposit_Number}}

Please let me know when processed and will confirm this is our system.""","Event Confirmation","false","send","69aeeec89c1f0ffd1d014f54","2026-03-09T16:01:12.125000","2026-03-26T10:25:43.572000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"Old","After meeting 3rd Follow up - Old Client","After Meeting Follow-Up","true","After meeting 3rd Follow up","Both","Good morning {{name}}- I want to thank you for taking the time to further plan your {{event_type}} with us.

Also wanted to update you from our conversation. We received interest on {{preferred_date}}. Please know me mentioning this is not to force an option but to keep you updated. {{company}} is a returning client for us... we prefer to offer you a priority and that we took time planning to this point. Totally here to help to confirm with you if {{preferred_date}} works or if would you be open to an alternative day that week.

Here to help and look forward to further planning this with you.

Sincerely,
Dave","Lead Follow-Up","false","send","69aee9d02a53d2469a7a70ee","2026-03-09T15:40:00.332000","2026-03-26T10:26:33.781000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"New","After meeting 2nd Follow up - First Time Client","After Meeting Follow-Up","true","After meeting 2nd Follow up ","B2C","Good morning {{name}},
I hope your week is off to a great start!

I wanted to check in with you about the cooking function {{preferred_date}} we’re planning for your {{event_type}}. A client has expressed interest in booking that date, but I haven't received your confirmation yet to solidly your reservation. Is everything okay?

As promised, I wanted to keep you in the loop before having someone take one of your preferred time slots.

Please let me know if you need any assistance. Look forward to further planning this with you!

Sincerely,
Dave","Proposal","false","send","69aee97e1862f5a70786015e","2026-03-09T15:38:38.706000","2026-03-26T10:26:46.697000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"New","After meeting 2nd Follow up - First Time Client","After Meeting Follow-Up","true","After meeting 2nd Follow up","B2B","Good morning {{name}}- I want to thank you for taking the time to further plan your  {{event_type}} with us.

Also wanted to update you from our conversation. We received interest on {{preferred_date}}. Please know me mentioning this is not to force an option but to keep you updated. As a first-time client, we prefer to offer {{company}} priority, and that we took time planning to this point. Totally here to help to confirm with you if {{preferred_date}} works or if would you be open to an alternative day that week.

Here to help and look forward to further planning this with you.

Sincerely,
Dave","Proposal","false","send","69aee934608873d88e92a3ed","2026-03-09T15:37:24.689000","2026-03-26T10:26:46.718000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"Old","After meeting 1st Follow up - Old Client Client Reward","After Meeting Follow-Up","true","After meeting 1st Follow up - Old Client Client Reward","Both","Good morning {{name}},

Hope you are doing well.

Wanted to circle back with you on such a wonderful Tuesday with epic summer news.

The Secretary of State's office approved a proclamation from the District of Columbia Mayor Muriel Bowser recognizing our recent placement on USA Today as one of the Top 10 Best Food Tour companies in the nation! We were presented the proclamation as our team supported a community service project at a local DC elementary school. We all celebrated this wonderful achievement!

I share this wonderful news as I want you to feel at ease that we are positioned to support your team as an experienced team building provider and will ensure your team has a blast!

Our fall is starting to fill and recall you wishing to plan a function at your office. Totally here to help. I’d like to confirm with you if {{preferred_date}} works or if you would be open to an alternative day to plan this with us.

Here to help and look forward to further planning this with you.

Sincerely, 
Dave","Lead Follow-Up","false","send","69aee81c7af7901cad5ee40f","2026-03-09T15:32:44.373000","2026-03-26T10:26:33.738000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"New","After meeting Follow up - First Time Client (Tripadvisor)","After Meeting Follow-Up","true","After Meeting Follow-Up 1","Both","Good morning {{name}},

Hope you are doing well.

I wanted to send you good news. Earlier this week we were awarded the 2025 #1 Rated Food and Drink Activities on TripAdvisor. This overarching recognition was assessed from experience reviews and ratings that locals, businesses, and travelers share across the globe.

I share this as I want you to feel at ease that we are positioned to support your team as an experience provider that will ensure your team has a blast!

How was your meeting last week to go over options?

Here to help, and look forward to further planning this with you!

Sincerely, 
Dave","Lead Follow-Up","false","send","69aee78bfca851b95ff1d7c0","2026-03-09T15:30:19.422000","2026-03-26T10:26:33.715000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
"","1st after meeting Follow up (24 hours after meeting)","","true","After meeting follow up","","Good morning {{name}},
 
I understand your time is valuable and really appreciate you taking the time to meet with me yesterday. We would be honored to work with you as your (insert occasion) experience provider for your team. 
 
Once you connect with your colleague (Followe up date), let me know what options work best so that we can plan accordingly.
 
Look forward to further planning this with you and that we keep in touch regardless.

Sincerely,
Dave","Proposal","false","send","69aee73e544722673939acf6","2026-03-09T15:29:02.614000","2026-03-09T15:29:02.614000","699c69418e04ef1c530e70c1","admin2@mangiadc.com","false"
