"template_name","event_type","is_active","event_day_tasks","pre_event_tasks","description","post_event_tasks","id","created_date","updated_date","created_by_id","created_by","is_sample"
"In-Person Yoga & UnWined","In-Person Yoga & UnWined","true","[{""description"":""Arrange mats, props, and wine tasting station"",""title"":""Setup yoga space"",""responsible_role"":""Ops"",""order"":1},{""description"":""Conduct guided yoga class for group"",""title"":""Lead yoga session"",""responsible_role"":""Chef"",""order"":2},{""description"":""Guide wine and food pairing experience"",""title"":""Facilitate wine tasting"",""responsible_role"":""Event Host"",""order"":3}]","[{""description"":""Book instructor and verify space is suitable for yoga"",""title"":""Confirm yoga instructor and venue"",""responsible_role"":""Sales"",""days_before_event"":10,""order"":1},{""description"":""Curate wine pairings and healthy snack options"",""title"":""Select wines and snacks"",""responsible_role"":""Chef"",""days_before_event"":5,""order"":2},{""description"":""Ensure adequate yoga mats and props are available"",""title"":""Arrange mats and equipment"",""responsible_role"":""Ops"",""days_before_event"":2,""order"":3}]","Workflow for yoga and wine pairing events","[{""days_after_event"":1,""description"":""Email yoga tips and wine recommendations"",""title"":""Send follow-up wellness content"",""responsible_role"":""Sales"",""order"":1}]","698e5cf56da19103c5e0dc94","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"Virtual Yoga & Wine","Virtual Mixology","true","[{""description"":""Join Zoom 15 minutes early for tech check"",""title"":""Login to virtual session"",""responsible_role"":""Event Host"",""order"":1},{""description"":""Demonstrate yoga poses on camera"",""title"":""Lead virtual yoga class"",""responsible_role"":""Chef"",""order"":2}]","[{""description"":""Get emails and send Zoom meeting link"",""title"":""Confirm virtual participant list"",""responsible_role"":""Sales"",""days_before_event"":7,""order"":1},{""description"":""Mail yoga mat and wine selection to participants"",""title"":""Ship wine and yoga props"",""responsible_role"":""Ops"",""days_before_event"":10,""order"":2},{""description"":""Test Zoom background and yoga demonstration space"",""title"":""Prepare virtual studio setup"",""responsible_role"":""Chef"",""days_before_event"":1,""order"":3}]","Virtual yoga and wine pairing class","[{""days_after_event"":1,""description"":""Email video recordings and pairing recommendations"",""title"":""Send yoga and wine pairing guide"",""responsible_role"":""Sales"",""order"":1}]","698e5cf56da19103c5e0dc9d","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"Corporate Mixology Event","In-Person Mixology","true","[{""description"":""Arrange elegant bar with all supplies"",""title"":""Setup premium bar setup"",""responsible_role"":""Ops"",""order"":1},{""description"":""Greet participants and explain event flow"",""title"":""Welcome corporate group"",""responsible_role"":""Event Host"",""order"":2},{""description"":""Conduct interactive cocktail class with team challenges"",""title"":""Lead team building mixology"",""responsible_role"":""Chef"",""order"":3}]","[{""description"":""Discuss headcount, dietary restrictions, and preferences"",""title"":""Coordinate with corporate event manager"",""responsible_role"":""Sales"",""days_before_event"":14,""order"":1},{""description"":""Stock high-end alcohol and quality garnishes"",""title"":""Order premium spirits and supplies"",""responsible_role"":""Ops"",""days_before_event"":5,""order"":2},{""description"":""Create 3-4 signature cocktails for class"",""title"":""Prepare interactive menu"",""responsible_role"":""Chef"",""days_before_event"":3,""order"":3}]","Template for corporate team building mixology events","[{""days_after_event"":2,""description"":""Process invoice with detailed breakdown"",""title"":""Send corporate invoice"",""responsible_role"":""Finance"",""order"":1},{""days_after_event"":1,""description"":""Ask corporate client for event review"",""title"":""Request testimonial and photos"",""responsible_role"":""Sales"",""order"":2}]","698e5cf56da19103c5e0dc96","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"Bridal Shower Paint & Sip","In-Person Paint & Sip","true","[{""description"":""Setup with flowers, balloons, and table decor"",""title"":""Decorate venue"",""responsible_role"":""Ops"",""order"":1},{""description"":""Conduct themed painting instruction"",""title"":""Lead painting class"",""responsible_role"":""Chef"",""order"":2},{""description"":""Provide appetizers and curated wine selection"",""title"":""Serve food and wine"",""responsible_role"":""Event Host"",""order"":3}]","[{""description"":""Get final headcount and dietary needs"",""title"":""Confirm bride and guest list"",""responsible_role"":""Sales"",""days_before_event"":14,""order"":1},{""description"":""Get flowers, decorations, and premium wine selection"",""title"":""Order decor and supplies"",""responsible_role"":""Ops"",""days_before_event"":7,""order"":2},{""description"":""Design painting that matches bridal theme"",""title"":""Plan themed painting project"",""responsible_role"":""Chef"",""days_before_event"":5,""order"":3}]","Template for bridal shower paint and sip events","[{""days_after_event"":3,""description"":""Email high-quality event photos to bride"",""title"":""Send professional photos"",""responsible_role"":""Sales"",""order"":1}]","698e5cf56da19103c5e0dc97","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"Date Night Mixology","In-Person Mixology","true","[{""description"":""Setup intimate bar area with candles and music"",""title"":""Create romantic setting"",""responsible_role"":""Ops"",""order"":1},{""description"":""Teach couple to make cocktails together"",""title"":""Host intimate mixology class"",""responsible_role"":""Chef"",""order"":2}]","[{""description"":""Get spirit preferences and dietary restrictions"",""title"":""Confirm couple's preferences and any allergies"",""responsible_role"":""Sales"",""days_before_event"":5,""order"":1},{""description"":""Prepare mood lighting and music playlist"",""title"":""Setup romantic ambiance supplies"",""responsible_role"":""Ops"",""days_before_event"":2,""order"":2},{""description"":""Select 2-3 signature cocktails for couple"",""title"":""Curate romantic cocktails"",""responsible_role"":""Chef"",""days_before_event"":1,""order"":3}]","Romantic mixology experience for couples","[{""days_after_event"":1,""description"":""Email photos and cocktail recipes to couple"",""title"":""Send romantic thank you"",""responsible_role"":""Sales"",""order"":1}]","698e5cf56da19103c5e0dc9a","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"In-Person Paint & Sip","In-Person Paint & Sip","true","[{""description"":""Arrange easels, canvases, and paint supplies"",""title"":""Setup art stations"",""responsible_role"":""Ops"",""order"":1},{""description"":""Guide guests through painting tutorial"",""title"":""Lead painting class"",""responsible_role"":""Chef"",""order"":2},{""description"":""Pour wine and ensure guest comfort"",""title"":""Manage wine service"",""responsible_role"":""Event Host"",""order"":3}]","[{""description"":""Verify headcount and seating arrangement"",""title"":""Confirm guest list and venue setup"",""responsible_role"":""Sales"",""days_before_event"":7,""order"":1},{""description"":""Purchase canvases, paints, brushes, and wine selection"",""title"":""Order art supplies and wine"",""responsible_role"":""Ops"",""days_before_event"":5,""order"":2},{""description"":""Design step-by-step painting guide for the class"",""title"":""Prepare painting instruction plan"",""responsible_role"":""Chef"",""days_before_event"":3,""order"":3}]","Workflow for in-person paint and sip events","[{""days_after_event"":1,""description"":""Package paintings for guest takeaway"",""title"":""Collect completed artwork"",""responsible_role"":""Ops"",""order"":1},{""days_after_event"":2,""description"":""Email photos from the event to client"",""title"":""Send event photos"",""responsible_role"":""Sales"",""order"":2}]","698e5cf56da19103c5e0dc92","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"Corporate Food Tour Experience","In-Person Private Food Tour","true","[{""description"":""Greet executives at tour start location"",""title"":""Meet corporate group"",""responsible_role"":""Event Host"",""order"":1},{""description"":""Guide through curated food experience with stories"",""title"":""Lead executive food tour"",""responsible_role"":""Chef"",""order"":2}]","[{""description"":""Confirm executives' attendance and dietary needs"",""title"":""Coordinate with corporate office"",""responsible_role"":""Sales"",""days_before_event"":14,""order"":1},{""description"":""Book private dining areas at featured restaurants"",""title"":""Reserve exclusive restaurant spaces"",""responsible_role"":""Ops"",""days_before_event"":10,""order"":2},{""description"":""Prepare restaurant history and industry insights"",""title"":""Plan corporate networking talking points"",""responsible_role"":""Chef"",""days_before_event"":3,""order"":3}]","Executive team building food tour","[{""days_after_event"":2,""description"":""Email summary and follow-up recommendations"",""title"":""Send corporate debrief"",""responsible_role"":""Sales"",""order"":1},{""days_after_event"":3,""description"":""Invoice corporate account with expense breakdown"",""title"":""Process corporate billing"",""responsible_role"":""Finance"",""order"":2}]","698e5cf56da19103c5e0dc9b","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"Virtual Team Building Paint & Sip","Virtual Paint & Sip","true","[{""description"":""Join early to test video, audio, and screen share"",""title"":""Test Zoom platform"",""responsible_role"":""Event Host"",""order"":1},{""description"":""Demonstrate painting steps on camera"",""title"":""Lead virtual paint class"",""responsible_role"":""Chef"",""order"":2}]","[{""description"":""Get all participant emails and send Zoom link"",""title"":""Confirm team roster and Zoom details"",""responsible_role"":""Sales"",""days_before_event"":7,""order"":1},{""description"":""Mail canvas, paints, and brushes to each team member"",""title"":""Ship art kits to all participants"",""responsible_role"":""Ops"",""days_before_event"":10,""order"":2},{""description"":""Choose simple but fun painting project"",""title"":""Select team-friendly painting design"",""responsible_role"":""Chef"",""days_before_event"":3,""order"":3}]","Virtual paint and sip for remote team building","[{""days_after_event"":1,""description"":""Send survey to gather team input on event"",""title"":""Collect participant feedback"",""responsible_role"":""Sales"",""order"":1}]","698e5cf56da19103c5e0dc99","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"Virtual Mixology Class","Virtual Mixology","true","[{""description"":""Join 15 minutes before to test audio/video"",""title"":""Login to Zoom early"",""responsible_role"":""Event Host"",""order"":1},{""description"":""Demonstrate cocktail recipes step-by-step"",""title"":""Host virtual mixology class"",""responsible_role"":""Chef"",""order"":2}]","[{""description"":""Verify participant emails and send Zoom invite"",""title"":""Confirm attendee list and Zoom link"",""responsible_role"":""Sales"",""days_before_event"":5,""order"":1},{""description"":""Mail spirit kits and mixer ingredients to all attendees"",""title"":""Ship cocktail kits"",""responsible_role"":""Ops"",""days_before_event"":7,""order"":2},{""description"":""Verify camera, lighting, and bar background"",""title"":""Test virtual setup"",""responsible_role"":""Chef"",""days_before_event"":1,""order"":3}]","Workflow for virtual mixology events","[{""days_after_event"":1,""description"":""Email recipe cards and participant feedback form"",""title"":""Send thank you email"",""responsible_role"":""Sales"",""order"":1}]","698e5cf56da19103c5e0dc95","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"In-Person Private Monuments Tour","In-Person Private Monuments","true","[{""description"":""Greet participants and distribute materials"",""title"":""Meet group at starting point"",""responsible_role"":""Event Host"",""order"":1},{""description"":""Guide group through DC monuments with educational commentary"",""title"":""Lead monuments tour"",""responsible_role"":""Chef"",""order"":2}]","[{""description"":""Secure private access permits for monuments"",""title"":""Arrange tour permits and access"",""responsible_role"":""Ops"",""days_before_event"":14,""order"":1},{""description"":""Review historical facts and monument details"",""title"":""Brief tour guide on route"",""responsible_role"":""Sales"",""days_before_event"":3,""order"":2},{""description"":""Plan indoor backup locations if needed"",""title"":""Check weather and contingencies"",""responsible_role"":""Ops"",""days_before_event"":1,""order"":3}]","Workflow for private monuments tours in DC","[{""days_after_event"":1,""description"":""Collect feedback on tour quality"",""title"":""Debrief with guide"",""responsible_role"":""Sales"",""order"":1},{""days_after_event"":2,""description"":""Invoice client for tour services"",""title"":""Process final payment"",""responsible_role"":""Finance"",""order"":2}]","698e5cf56da19103c5e0dc93","2026-02-12T23:06:29.497000","2026-02-12T23:06:29.497000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
